626000,43.73333,6.78333,#47543b
600000,30.80833,109.5,#77886d
582000,44.86667,95.41667,#6a6041
564000,39.93333,-99.6,#575846
550000,19.7,55.73333,#e7d3b0
549000,-28.83333,21.13333,#998673
529000,39.5,-112.9,#847e6d
525000,35.16667,-107.88333,#97887b
510000,27.71667,-0.25,#cbaf97
505000,43.36667,-88.13333,#626848
503000,-31.38333,125.63333,#977b58
500000,-7.56667,110.83333,#626561
500000,48.9,22.4,#6d8472
500000,57.78333,55.26667,#414b5b
500000,-22.61667,135.2,#956e44
500000,-33.11667,-60.96667,#697665
500000,-28.23333,120.85,#6b6158
499500,-6.6,110.73333,#3c4738
472000,48.48333,3.58333,#869078
454000,29.66667,-111.5,#87775e
450000,35.98333,-101.9,#6c6958
450000,20.51667,56.66667,#e4cfb3
430000,35.8,-113.7,#a59484
430000,44.95667,91.4025,#4b4238
408000,36.06667,-90.5,#304936
407000,-76.71667,159.66667,#352f27
400000,48.06667,35.08333,#102426
400000,34.7,117,#21372c
384000,39.78333,-77.21667,#485239
360000,49.55,4.86667,#284736
350000,37.2,-101.35,#9a9b85
350000,27.35,108.5,#436453
341000,-30.55,29.41667,#404d42
330000,60.4,25.8,#3a4233
330000,-26.45,120.36667,#705342
326000,-22.5,116.16667,#897d67
325000,53.66667,55.98333,#7b776f
323300,62.9,152.43333,#15261c
320000,43.41667,-94.83333,#55634f
320000,-20.8,-69.66667,#bba08c
309000,38.76667,-105.51667,#857e6e
305000,-29.43333,-50.91667,#1c2917
303000,53.23333,27.33333,#67755b
303000,53.9,-112.88333,#485040
300000,-23,-69,#917e6e
300000,46.8,24.03333,#375359
300000,-29.03333,-53.05,#84957d
300000,24.3,106.1,#385442
295000,39.33333,-100.06667,#6e715e
290000,33.9,-101.75,#6e5e4e
290000,52.46667,16.9,#434d3a
290000,3.98333,41.65,#5d5c4d
283000,34.3,-103.13472,#9e886b
280000,-39.85,-69.48333,#79735d
279000,-16.21667,-50.3,#a1a082
275000,22.56667,48.3,#aeb3bd
272000,-25.66667,118.1,#b98756
271000,45.3,0.23333,#859378
270000,34.1,-97,#525a44
265000,-27.83333,150.33333,#757564
261000,41.23333,-103.3,#5f6254
260000,34.25,-96.68333,#3d4c35
260000,31.61667,113.46667,#687159
257000,-25.33333,116.18333,#c79b66
256000,44.55,131.63333,#476644
256000,19.03333,54.51667,#ebcfb7
252000,3.81667,43.33333,#9d7c63
250000,54.23333,35.15,#486748
250000,52.76667,21.26667,#557664
250000,64.02,161.80833,#474841
247000,42.5,114,#c5a993
244500,37.96667,-90.31667,#30472d
240000,23.28333,-10.81667,#c9b595
237200,32.91667,-104.66667,#948673
230000,40,-81.76667,#273d28
230000,41.8,-91.86667,#677658
230000,67.8,23.1,#171c1c
228000,45.26667,10.15,#555044
227000,39.6,-105.3,#5b5c4f
220000,34.9,-110.18333,#897d6b
220000,28.28333,117.18333,#445244
217700,29.31667,-100.96667,#6b6e57
217000,58.61667,98.93333,#364d48
209400,51.05833,94.4,#30492c
200000,-35.3,144.56667,#5f5d48
200000,42.68333,-71.35,#4e5854
200000,52.55,46.55,#697467
200000,-18.58333,-46.53333,#7e7d68
200000,55.43333,53.25,#364e36
200000,34.58333,-102.16667,#9f8767
200000,55.78333,61.36667,#595843
200000,40.5,112.5,#4c6465
200000,19.65167,55.69,#837a70
200000,-30.03306,-51.23,#5b644b
200000,-30.1,28.71667,#746d5d
198000,49.86667,46.61167,#3c4c28
194000,38.81667,-84.6,#334d34
192800,37.46667,-118,#877f67
190000,32.4,111.7,#535e4d
180000,38.7,-96.1,#5d6c51
175400,30.3,-97.7,#aba896
175000,53,-112,#4f5644
174000,34.91667,135.96667,#253621
